symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc
DNMT3B	0.3221946271744046	0.5265660857279192	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06839221473130737	No data	No data
IGF2BP2	0.32131887175749546	0.51861018327936	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19869924046268272	No data	No data
MMP16	0.32065883546878843	0.5274594357261738	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADGRL2	0.3197433016674383	0.5259534521422742	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CCL21	0.3192901242865348	0.5222388061732197	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02262853524443256	0.04932694499734441	No data
RASGRP1	0.3190214784156996	0.5142606551281274	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1641413153551377	0.1034274063401209	No data
B3GNT2	0.31898606162461296	0.522576883456117	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0426193263058947	No data	No data
AIM2	0.31650255375169317	0.473291567680793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8472656076938334	0.22355189259435018	No data
ANKRD55	0.3149997748823788	0.5172388145751359	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data
MST1	0.3144933482856356	0.5108889781593762	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1285739863015378	No data	No data
SCG2	0.3133319877029013	0.5154073275015665	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CARD9	0.31116534000890245	0.5112354257676066	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data
PLXNC1	0.310546153226976	0.510824841325722	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
UBLCP1	0.3102097067441136	0.5048760265800353	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10790771657606275	No data	No data
GPR183	0.30794097537351817	0.5013971203048837	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10284802542270671	No data
ELOA	0.3079026680550694	0.5064765089459643	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SOX14	0.30680110208528255	0.5046645165709858	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
RGS1	0.30655848276285513	0.4891265895550224	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	0.2933200317719792	No data
ABHD5	0.30580648258367094	0.5030284430153785	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
FAS	0.3052803340148845	0.4917652586096545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20795419924326267	No data	No data
CRYBG1	0.30440975713835255	0.5007309357155252	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
RORC	0.3041237875440035	0.4856032670219533	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2045666312438733	0.19930224884545256	No data
FOSL2	0.3040245055171204	0.4967538360254778	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05927325276713306	0.0170877324651476	No data
IL18R1	0.30356069345098746	0.47800359576641926	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4266138931085933	No data	No data
KCNJ11	0.30320106571739847	0.4987427301077443	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PTEN	0.30033354203748297	0.48235142084918764	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23348901090126079	No data	No data
SNAI1	0.29839274403855287	0.49022547525921106	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data
ADORA3	0.2982086356594247	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.47861833392169206	No data	No data	No data	No data	No data	No data	0.23824455662770078	No data	No data
REV3L	0.29705051142307193	0.48530267739460103	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.051674117796987794	0.033261841790633025	No data
FTO	0.2965414318162859	0.47729530046278157	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1864681272232008	0.05262440414090645	No data
CA8	0.29584872924366273	0.4866486948941626	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NFKB1	0.29464321280542394	0.46228561455473394	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44760194674256504	No data	No data
GCKR	0.29359287132797096	0.4817305618052153	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024148362238461615	No data	No data
BBS7	0.2933322992503376	0.4806855662426427	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data
FAP	0.29307023594869946	0.47708734659431634	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0998187561849167	No data	No data
ADCY3	0.2914851312383934	0.47947090751702603	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TNP2	0.2907494438862095	0.47674093069167695	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data
PPP5C	0.289908970224244	0.4752064326381129	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data
TSC22D1	0.2890607375830209	0.47071678659239324	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09532354906550218	No data
HDAC7	0.2890164708400779	0.47541014861483827	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
HBS1L	0.28867738343110844	0.4748523755750422	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PTPRN2	0.28831107791881766	0.4695383671405475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09422927362980127	No data	No data
FOS	0.2878824669518211	0.4487017230707685	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39746783417621157	0.22363575963792062	No data
PUS10	0.2860159955810245	0.47047459464908853	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PTGER4	0.2851596983693544	0.4588163426789421	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20499416156504718	No data	No data
CLEC16A	0.2845850835007674	0.46611552564686987	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04010654567576667	No data	No data
PDE8A	0.283353669255803	0.46609527000279494	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MAP3K8	0.28271973857336424	0.463313144606673	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.034787151196664985	No data	No data
HMGCR	0.2813399391463257	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.1366947734552459	No data	No data
RGS14	0.28068224512830525	0.4529600213068738	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	0.051382074850296375	No data
