symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen
LMAN2	0.09146038120011091	0.14983745140613836	No data	No data	No data	No data	No data	No data	No data	No data
DSC2	0.09107446352757081	0.1481473042944313	No data	No data	No data	No data	No data	No data	No data	No data
NEU4	0.0898532124319963	0.14780171161751107	No data	No data	No data	No data	No data	No data	No data	No data
LCE3A	0.08924713196328782	0.1468047552680555	No data	No data	No data	No data	No data	No data	No data	No data
CSGALNACT1	0.08908768840672825	0.14654248272455883	No data	No data	No data	No data	No data	No data	No data	No data
ALDH3B1	0.08897253901034445	0.1463530707111583	No data	No data	No data	No data	No data	No data	No data	No data
SPRR2G	0.09019625313504152	0.14579652967833637	No data	No data	No data	No data	No data	No data	No data	No data
DAB2	0.08747146097344459	0.14388391132196937	No data	No data	No data	No data	No data	No data	No data	No data
LCE3E	0.08638254497082469	0.14209272718242927	No data	No data	No data	No data	No data	No data	No data	No data
SPRR2B	0.09152616555627191	0.13976282081681835	No data	No data	No data	No data	No data	No data	No data	No data
ADAMTSL4	0.0833243219117848	0.13706218247067137	No data	No data	No data	No data	No data	No data	No data	No data
OR2Z1	0.08240265712911705	0.13554611388804866	No data	No data	No data	No data	No data	No data	No data	No data
SIK2	0.08096135941158904	0.13317528858492134	No data	No data	No data	No data	No data	No data	No data	No data
KISS1R	0.07949420706542847	0.13076193438091557	No data	No data	No data	No data	No data	No data	No data	No data
PSMD5	0.07936168652828528	0.13054394816001047	No data	No data	No data	No data	No data	No data	No data	No data
IQCH	0.07701015290597431	0.12667585391055075	No data	No data	No data	No data	No data	No data	No data	No data
